Food Code,Food Name,Group,Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg),,,,,,,,,,,,,,,,,,,,,,,
13-598,"Potato powder, instant, raw",DAR,0,0.25,,0.05,0.19,6.6,2,8.6,0.84,0,13,N,N,130,,,,,,,,,,,,,,,,,,,,,,,
13-533,"Potato products, shaped, frozen, baked",DA,0,2.7,,0.19,0.02,0.8,0.5,1.3,0.1,0,17,0.29,0.8,44,,,,,,,,,,,,,,,,,,,,,,,
17-643,Potato rings,SN,0,7.64,,0.05,0.27,1.1,0.8,1.9,0.4,0,5,0.28,0.2,3,,,,,,,,,,,,,,,,,,,,,,,
17-642,"Potato snacks, pringle-type, fried in vegetable oil",SNA,0,10.8,9.6,0.09,0.16,3.9,0.9,4.8,0.31,0,62,0.78,0.6,N,,,,,,,,,,,,,,,,,,,,,,,
13-483,"Potato wedges, retail, cooked",DAR,Tr,N,,0.08,0.06,2.2,0.4,2.6,0.1,0,10,0.39,0.5,Tr,,,,,,,,,,,,,,,,,,,,,,,
15-259,"Potato, leek and celery bake",DR,0.1,0.25,,0.1,0.06,0.3,1,1.3,0.19,0.1,11,0.23,0.7,3,,,,,,,,,,,,,,,,,,,,,,,
15-261,"Potatoes with onions and eggs, fried",DR,0.8,4.46,,0.12,0.25,1.2,2.2,3.4,0.24,1.1,18,N,N,4,,,,,,,,,,,,,,,,,,,,,,,
15-850,"Potatoes, duchesse",DR,0.4,0.23,0.37,0.22,0.05,0.5,0.7,1.2,0.07,0.3,20,0.53,2.3,9,,,,,,,,,,,,,,,,,,,,,,,
13-610,"Potatoes, new and salad, boiled in salted water, flesh and skin",DAE,0,0.11,,0.13,0.01,0.7,0.4,1.1,0.13,0,21,0.51,0.3,7,,,,,,,,,,,,,,,,,,,,,,,
13-495,"Potatoes, new and salad, boiled in unsalted water, flesh and skin",DAE,0,0.11,,0.13,0.01,0.7,0.4,1.1,0.13,0,21,0.51,0.3,7,,,,,,,,,,,,,,,,,,,,,,,
13-618,"Potatoes, new and salad, flesh only, raw",DAE,0,0.06,,0.15,0.02,0.7,0.4,1.1,0.16,0,25,0.5,0.3,7,,,,,,,,,,,,,,,,,,,,,,,
13-619,"Potatoes, new, frozen, `roast' in corn oil",DAE,0,1.14,,0.16,0.02,0.5,0.6,1.1,N,0,25,N,N,5,,,,,,,,,,,,,,,,,,,,,,,
13-491,"Potatoes, old, baked, flesh and skin",DAM,0,0.05,0.94,0.2,0.02,0.9,0.4,1.3,0.11,0,18,0.46,0.3,6,,,,,,,,,,,,,,,,,,,,,,,
13-620,"Potatoes, old, baked, flesh only",DAM,0,0.06,0.94,0.21,0.01,0.6,0.5,1.1,0.06,0,10,0.26,0.3,3,,,,,,,,,,,,,,,,,,,,,,,
13-621,"Potatoes, old, baked, flesh only, weighed with skin",DAM,0,0.04,,0.14,0.01,0.4,0.3,0.7,0.04,0,7,0.17,0.2,2,,,,,,,,,,,,,,,,,,,,,,,
13-605,"Potatoes, old, boiled in salted water, flesh only",DAM,0,0.01,,0.21,Tr,0.5,0.4,0.9,0.06,0,18,0.43,0.3,9,,,,,,,,,,,,,,,,,,,,,,,
13-490,"Potatoes, old, boiled in unsalted water, flesh only",DAM,0,0.01,,0.21,Tr,0.5,0.4,0.9,0.06,0,18,0.43,0.3,9,,,,,,,,,,,,,,,,,,,,,,,
13-553,"Potatoes, old, mashed with butter",DAM,0,0.09,,0.19,0.02,0.3,0.4,0.7,0.06,0.1,17,0.43,0.5,8,,,,,,,,,,,,,,,,,,,,,,,
13-554,"Potatoes, old, mashed with reduced fat spread",DAM,0.3,1.19,,0.19,0.02,0.3,0.4,0.7,0.06,0.1,17,0.43,0.5,8,,,,,,,,,,,,,,,,,,,,,,,
13-494,"Potatoes, old, microwaved, flesh and skin",DAM,0,0.13,,0.23,0.01,0.8,0.4,1.2,0.14,0,33,0.48,0.3,5,,,,,,,,,,,,,,,,,,,,,,,
13-566,"Potatoes, old, potato wedges, with skin, cooked in sunflower oil, homemade",DAM,0,N,,0.23,0.02,1.1,0.5,1.6,0.13,0,21,0.54,0.4,7,,,,,,,,,,,,,,,,,,,,,,,
13-489,"Potatoes, old, raw, flesh only",DAM,0,0.01,0.94,0.2,0.01,0.3,0.4,0.7,0.14,0,13,0.44,0.3,14,,,,,,,,,,,,,,,,,,,,,,,
13-599,"Potatoes, old, roasted in corn oil",DAM,0,0.98,,0.22,0.01,0.4,0.5,0.9,0.14,0,8,0.47,0.3,13,,,,,,,,,,,,,,,,,,,,,,,
13-600,"Potatoes, old, roasted in lard",DAM,N,0.07,,0.22,0.01,0.4,0.5,0.9,0.14,Tr,8,0.47,0.3,13,,,,,,,,,,,,,,,,,,,,,,,
13-534,"Potatoes, old, roasted in rapeseed oil",DA,0,N,,0.22,0.01,0.4,0.5,0.9,0.14,0,8,0.47,0.3,13,,,,,,,,,,,,,,,,,,,,,,,
13-492,"Potatoes, old, roasted in sunflower oil, flesh only",DAM,0,2.77,,0.22,0.01,0.4,0.5,0.9,0.14,0,8,0.47,0.3,13,,,,,,,,,,,,,,,,,,,,,,,
13-493,"Potatoes, old, wedges, with skin, homemade, cooked in rapeseed oil",DAM,0,N,,0.23,0.02,1.1,0.5,1.6,0.13,0,21,0.54,0.4,7,,,,,,,,,,,,,,,,,,,,,,,
18-305,"Poussin, raw, meat and skin",MCA,0.6,0.15,,0.11,0.25,6.6,3.5,10.1,0.31,Tr,9,1.03,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-306,"Poussin, raw, meat and skin, weighed with bone",MCA,0.3,0.09,,0.06,0.14,3.8,2,5.8,0.18,Tr,5,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,
11-1023,"Prawn crackers, takeaway",AT,0,5.77,,Tr,Tr,0.1,N,N,0.43,0,2,Tr,Tr,0,,,,,,,,,,,,,,,,,,,,,,,
16-388,"Prawns, king, grilled from raw",JK,Tr,1.64,,Tr,0.07,0.1,3.4,3.5,0.14,1.6,10,0.2,4.3,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-389,"Prawns, king, purchased cooked",JK,Tr,1.64,,Tr,0.05,0.1,3.4,3.5,0.05,1.4,10,0.2,4.3,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-481,"Prawns, king, purchased cooked, weighed with shells",JK,Tr,0.89,,Tr,0.03,0.1,1.8,1.9,0.03,0.8,5,0.11,2.3,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-387,"Prawns, king, raw",JK,Tr,1.8,,Tr,0.05,0.1,3.6,3.7,0.11,1.3,11,0.16,3.9,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-482,"Prawns, standard, dried",JK,Tr,19.58,,Tr,0.27,Tr,19.4,19.4,0.16,12.7,54,0.76,21.6,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-384,"Prawns, standard, purchased cooked",JK,Tr,3.63,0.08,Tr,0.05,Tr,3.6,3.6,0.03,2.3,10,0.14,4,Tr,,,,,,,,,,,,,,,,,,,,,,,
17-758,Pre-mixed spirit based drinks,Q,0,N,,Tr,Tr,N,N,N,N,0,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
14-230,"Prickly pears, flesh and seeds",FA,0,N,,0.02,0.04,0.4,N,N,N,0,N,N,N,22,,,,,,,,,,,,,,,,,,,,,,,
12-405,"Profiteroles with sauce, frozen",BR,0.3,1.18,,0.07,0.14,0.3,1.2,1.5,0.02,0.3,9,0.63,3.7,Tr,,,,,,,,,,,,,,,,,,,,,,,
14-289,Prune juice,FC,0,N,,0.01,0.05,0.6,0.1,0.7,0.14,0,Tr,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
14-237,"Prunes, canned in juice, whole contents",FA,0,N,,0.02,0.02,0.5,0.1,0.6,0.06,0,5,0.07,Tr,Tr,,,,,,,,,,,,,,,,,,,,,,,
14-231,"Prunes, flesh and skin",FA,0,N,,0.1,0.2,1.5,0.5,2,0.24,0,4,0.46,Tr,Tr,,,,,,,,,,,,,,,,,,,,,,,
14-233,"Prunes, flesh and skin, stewed with sugar",FA,0,N,,0.04,0.07,0.5,0.2,0.7,0.09,0,Tr,0.16,Tr,Tr,,,,,,,,,,,,,,,,,,,,,,,
14-234,"Prunes, flesh and skin, stewed with sugar, weighed with stones",FA,0,N,,0.04,0.06,0.5,0.2,0.7,0.08,0,Tr,0.15,Tr,Tr,,,,,,,,,,,,,,,,,,,,,,,
14-235,"Prunes, flesh and skin, stewed without sugar",FA,0,N,,0.04,0.08,0.6,0.3,0.9,0.1,0,Tr,0.18,Tr,Tr,,,,,,,,,,,,,,,,,,,,,,,
14-236,"Prunes, flesh and skin, stewed without sugar, weighed with stones",FA,0,N,,0.04,0.07,0.5,0.2,0.7,0.09,0,Tr,0.16,Tr,Tr,,,,,,,,,,,,,,,,,,,,,,,
14-232,"Prunes, flesh and skin, weighed with stones",FA,0,N,,0.08,0.17,1.3,0.4,1.7,0.2,0,3,0.39,Tr,Tr,,,,,,,,,,,,,,,,,,,,,,,
14-391,"Prunes, ready-to-eat, semi-dried",FA,0,1.09,,0.03,0.03,2.7,0.1,2.8,0.04,0,1,0.27,Tr,Tr,,,,,,,,,,,,,,,,,,,,,,,
14-398,"Prunes, ready-to-eat, semi-dried, weighed with stones",FA,0,0.94,,0.03,0.03,2.3,0.1,2.4,0.03,0,1,0.23,Tr,Tr,,,,,,,,,,,,,,,,,,,,,,,
11-1037,"Pudding, bread and butter, homemade",AS,N,N,0.05,0.06,0.27,0.3,1.4,1.7,0.08,1.3,10,0.68,6.5,2,,,,,,,,,,,,,,,,,,,,,,,
11-1051,"Pudding, Christmas, homemade",AS,N,N,0.41,0.09,0.13,0.8,1.1,1.9,0.11,0.3,14,0.28,4.7,0,,,,,,,,,,,,,,,,,,,,,,,
11-1022,"Pudding, Christmas, retail",AS,N,N,,Tr,0.03,0.4,0.6,1,0.07,Tr,9,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
11-1065,"Pudding, Eve's pudding, homemade",AS,0.6,0.6,,0.05,0.09,0.3,0.9,1.2,0.06,0.5,5,0.26,3.5,6,,,,,,,,,,,,,,,,,,,,,,,
11-1097,"Pudding, Queen of Puddings, homemade",AS,0.6,0.35,,0.07,0.19,0.3,1.1,1.4,0.05,0.9,8,0.49,5,3,,,,,,,,,,,,,,,,,,,,,,,
12-580,"Pudding, rice, canned",BR,Tr,0.16,,0.01,0.13,0.2,0.6,0.9,0.01,Tr,Tr,0.3,2,Tr,,,,,,,,,,,,,,,,,,,,,,,
12-553,"Pudding, rice, canned, low fat",BR,Tr,0.1,,0.01,0.13,0.2,0.7,0.9,0.01,Tr,Tr,0.3,2,Tr,,,,,,,,,,,,,,,,,,,,,,,
12-514,"Pudding, rice, homemade, with semi-skimmed milk",BR,Tr,0.09,,0.03,0.21,0.3,0.8,1.1,0.06,0.9,5,0.57,3.3,2,,,,,,,,,,,,,,,,,,,,,,,
12-607,"Pudding, rice, homemade, with skimmed milk",BR,Tr,0.06,,0.03,0.2,0.2,0.9,1.1,0.06,0.9,5,0.43,2.8,1,,,,,,,,,,,,,,,,,,,,,,,
12-608,"Pudding, rice, homemade, with whole milk",BR,0,0.12,,0.03,0.21,0.3,0.8,1.1,0.06,0.9,5,0.66,2.8,2,,,,,,,,,,,,,,,,,,,,,,,
11-1021,"Pudding, sponge, canned",AS,N,0.59,,0.05,0.16,0.4,0.6,1,0.09,Tr,3,0.2,1,0,,,,,,,,,,,,,,,,,,,,,,,
11-1119,"Pudding, sponge, homemade",AS,N,N,,0.07,0.11,0.4,1.3,1.9,0.06,0.6,9,0.34,4,Tr,,,,,,,,,,,,,,,,,,,,,,,
11-1120,"Pudding, sponge, with dried fruit, homemade",AS,N,N,,0.08,0.11,0.4,1.2,1.8,0.08,0.5,9,0.32,4,Tr,,,,,,,,,,,,,,,,,,,,,,,
11-1121,"Pudding, sponge, with jam or treacle, homemade",AS,N,N,,0.07,0.1,0.3,1.2,1.8,0.05,0.5,8,0.31,3.7,1,,,,,,,,,,,,,,,,,,,,,,,
11-1122,"Pudding, spotted dick, homemade",AS,Tr,0.37,,0.15,0.08,0.7,0.9,0.8,0.07,0.2,6,0.22,1.5,1,,,,,,,,,,,,,,,,,,,,,,,
11-1124,"Pudding, suet, homemade",AS,Tr,0.41,,0.12,0.08,0.7,1,1.7,0.05,0.3,5,0.22,1.1,1,,,,,,,,,,,,,,,,,,,,,,,
14-842,Pumpkin seeds,GA,0,N,,0.23,0.32,1.7,7.1,8.8,N,0,N,N,N,0,,,,,,,,,,,,,,,,,,,,,,,
13-549,"Pumpkin, flesh only, boiled in unsalted water",DG,0,1.06,2,0.14,Tr,0.1,0.1,0.2,0.03,0,10,0.3,0.4,7,,,,,,,,,,,,,,,,,,,,,,,
13-326,"Pumpkin, flesh only, raw",DG,0,1.06,,0.16,Tr,0.1,0.1,0.2,0.02,0,10,0.4,0.4,14,,,,,,,,,,,,,,,,,,,,,,,
11-911,"Puri, homemade",AF,0,6.76,,0.19,0.01,1.9,1.7,3.6,0.2,0,32,0.2,2,0,,,,,,,,,,,,,,,,,,,,,,,
12-948,"Quiche, cheese and egg, homemade",CD,0.9,1.55,,0.05,0.25,0.3,3.1,3.4,0.08,1.5,12,0.59,7.5,1,,,,,,,,,,,,,,,,,,,,,,,
11-995,"Quiche, cheese and egg, wholemeal, homemade",CD,1,0.8,,0.1,0.27,1.1,3.4,4.5,0.17,1.5,17,0.7,8.3,Tr,,,,,,,,,,,,,,,,,,,,,,,
12-952,"Quiche, Lorraine, homemade",CD,0.8,N,,0.2,0.25,1.7,3.4,5.2,0.16,1.5,12,0.85,7.4,1,,,,,,,,,,,,,,,,,,,,,,,
12-936,"Quiche, Lorraine, shortcrust pastry, retail",CD,N,2.08,,0.13,0.18,1.2,1.8,3,0.04,0.5,9,0.69,4.6,Tr,,,,,,,,,,,,,,,,,,,,,,,
12-953,"Quiche, Lorraine, wholemeal pastry, homemade",CD,0.9,N,,0.25,0.28,2.6,3.7,6.3,0.26,1.5,15,0.9,8.2,1,,,,,,,,,,,,,,,,,,,,,,,
12-954,"Quiche, mushroom, homemade",CD,0.6,1.54,,0.06,0.22,0.7,2.5,3.3,0.07,1.1,13,0.81,7.4,1,,,,,,,,,,,,,,,,,,,,,,,
12-955,"Quiche, mushroom, wholemeal, homemade",CD,0.7,0.7,1.74,0.12,0.25,1.5,2.7,4.4,0.17,1.1,18,0.93,8.3,1,,,,,,,,,,,,,,,,,,,,,,,
12-949,"Quiche, vegetable, retail",CD,Tr,0.62,,0.09,0.17,0.7,1,1.7,0.06,0.2,15,0.41,4,Tr,,,,,,,,,,,,,,,,,,,,,,,
14-241,"Quinces, flesh only",FA,0,N,,0.02,0.02,0.2,Tr,0.2,0.04,0,N,0.08,0.1,15,,,,,,,,,,,,,,,,,,,,,,,
14-843,"Quinoa, raw",GA,0,N,,0.2,0.4,2.9,1.9,4.8,N,0,N,N,N,0,,,,,,,,,,,,,,,,,,,,,,,
15-262,Quorn korma,DR,Tr,0.8,,N,0.03,0.7,N,N,N,Tr,4,0.14,N,1,,,,,,,,,,,,,,,,,,,,,,,
13-574,"Quorn, pieces, as purchased",DG,0,0,,0.1,0.39,0.3,2.7,3,0.08,0.3,21,0.36,5.9,0,,,,,,,,,,,,,,,,,,,,,,,
18-387,"Rabbit, raw, meat only",MEC,N,0.13,,0.1,0.19,8.4,4.1,12.5,0.5,10,5,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-388,"Rabbit, stewed, meat only",MEC,N,N,,0.02,0.16,6.2,5.1,11.3,0.29,3,5,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-389,"Rabbit, stewed, meat only, weighed with bone",MEC,N,N,,0.01,0.1,6.2,2.7,8.9,0.17,2,3,0.48,1,0,,,,,,,,,,,,,,,,,,,,,,,
13-329,"Raddiccio, raw",DG,0,N,,0.09,0.15,0.3,0.2,0.5,0.08,0,15,N,N,5,,,,,,,,,,,,,,,,,,,,,,,
13-332,"Radish leaves, raw",DG,0,N,,0.13,0.35,0.8,0.8,1.6,N,0,N,N,N,63,,,,,,,,,,,,,,,,,,,,,,,
13-656,"Radish, red, flesh and skin, raw",DG,0,0,,0.03,Tr,0.4,0.1,0.5,0.07,0,38,0.18,0.4,17,,,,,,,,,,,,,,,,,,,,,,,
13-331,"Radish, white/mooli, raw",DG,0,0,,0.03,0.02,0.5,0.1,0.6,0.07,0,38,0.18,N,24,,,,,,,,,,,,,,,,,,,,,,,
14-393,"Raisins, dried",FA,0,0.52,3.7,0.11,0.01,0.7,0.1,0.8,0.24,0,6,0.09,11.3,Tr,,,,,,,,,,,,,,,,,,,,,,,
17-832,"Raita, homemade",WC,0,0.11,,0.06,0.2,0.3,N,N,N,0.1,18,N,N,2,,,,,,,,,,,,,,,,,,,,,,,
12-595,"Raita, yogurt and gram flour, homemade",BV,0.1,0.62,,0.09,0.1,0.3,0.6,0.9,0.11,0.1,15,0.27,1,2,,,,,,,,,,,,,,,,,,,,,,,
14-243,"Rambutan, flesh only",FA,0,N,,0.02,0.06,0.6,0.1,0.7,N,0,N,N,N,78,,,,,,,,,,,,,,,,,,,,,,,
13-333,"Rape leaves, raw",DG,0,N,,0.07,0.06,0.8,0.8,1.6,N,0,N,N,N,55,,,,,,,,,,,,,,,,,,,,,,,
14-375,"Raspberries, raw",FA,0,0.82,,0.01,0.01,0.5,0.2,0.7,0.11,0,55,0.73,1.6,19,,,,,,,,,,,,,,,,,,,,,,,
14-245,"Raspberries, stewed with sugar",FA,0,0.42,,0.02,0.03,0.3,0.3,0.6,0.04,0,5,0.16,1.2,21,,,,,,,,,,,,,,,,,,,,,,,
14-246,"Raspberries, stewed without sugar",FA,0,0.46,,0.02,0.04,0.4,0.3,0.7,0.05,0,6,0.17,1.4,23,,,,,,,,,,,,,,,,,,,,,,,
15-659,"Ratatouille, homemade",DR,0,1.77,,0.05,0.01,0.3,0.3,0.6,0.11,0,16,0.12,N,15,,,,,,,,,,,,,,,,,,,,,,,
15-853,Red pea loaf,DR,0.3,0.65,,0.16,0.09,0.5,1.6,2.1,0.12,0.3,41,0.31,N,1,,,,,,,,,,,,,,,,,,,,,,,
11-877,"Red rice, boiled in unsalted water",AC,0,0.08,,0.13,Tr,2.1,1.2,3.3,0.02,0,10,0.89,0.7,0,,,,,,,,,,,,,,,,,,,,,,,
16-127,"Red snapper, flesh only, fried in blended oil, weighed with bones and skin",JA,3,1.35,,0.08,0.08,6.6,4.6,11.2,0.46,2,N,0.33,1,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-128,"Red snapper, flesh only, fried in blended oil, weighed with bones and skin",JA,1.5,0.69,,0.04,0.04,3.3,2.3,5.6,0.23,1,N,0.17,1,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-129,"Red snapper, flesh only, fried in sunflower oil",JA,3,N,,0.08,0.08,6.6,4.6,11.2,0.46,2,N,0.33,1,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-130,"Red snapper, flesh only, fried in sunflower oil, weighed with bones and skin",JA,1.5,N,,0.04,0.04,3.3,2.3,5.6,0.23,1,N,0.17,1,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-126,"Red snapper, flesh only, raw",JA,2.3,N,,0.08,0.08,6.3,3.7,10,0.44,1,N,0.32,1,Tr,,,,,,,,,,,,,,,,,,,,,,,
14-249,"Redcurrants, raw",FA,0,0.1,,0.04,0.06,0.1,0.2,0.3,0.05,0,N,0.06,2.6,40,,,,,,,,,,,,,,,,,,,,,,,
14-250,"Redcurrants, stewed with sugar",FA,0,0.08,,0.02,0.04,0.1,0.2,0.3,0.03,0,N,0.04,1.5,23,,,,,,,,,,,,,,,,,,,,,,,
14-251,"Redcurrants, stewed without sugar",FA,0,0.09,,0.03,0.04,0.1,0.2,0.3,0.03,0,N,0.04,1.7,26,,,,,,,,,,,,,,,,,,,,,,,
16-131,"Redfish, raw",JA,N,1.25,,0.11,0.09,2.3,3.4,5.7,0.18,2,N,0.36,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
15-854,Re-fried beans,DR,N,N,,0.15,0.05,0.5,1.1,1.6,0.11,0,35,0.19,N,1,,,,,,,,,,,,,,,,,,,,,,,
17-708,"Relish, corn/cucumber/onion",WCN,0,N,,N,N,N,0.2,0.2,N,0,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
17-354,"Relish, tomato based",WCN,0,N,,0.06,0.05,0.2,0.2,0.4,N,0,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
14-252,"Rhubarb, stems only, raw",FA,0,0.2,,0.03,0.03,0.3,0.1,0.4,0.02,0,7,0.09,N,6,,,,,,,,,,,,,,,,,,,,,,,
14-253,"Rhubarb, stems only, stewed with sugar",FA,0,0.17,,0.03,0.02,0.2,0.1,0.3,0.02,0,4,0.08,N,5,,,,,,,,,,,,,,,,,,,,,,,
14-389,"Rhubarb, stems only, stewed without sugar",FA,0,0.18,,0.03,0.02,0.2,0.1,0.3,0.02,0,4,0.08,0.5,5,,,,,,,,,,,,,,,,,,,,,,,
15-855,Rice and black-eye beans,DR,N,N,,0.14,0.02,0.7,1.3,1,0.11,Tr,50,0.29,2.8,Tr,,,,,,,,,,,,,,,,,,,,,,,
15-856,"Rice and black-eye beans, brown rice",DR,N,N,,0.18,0.04,1.5,1.4,2.9,N,Tr,54,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
15-857,Rice and pigeon peas,DR,N,N,,0.12,0.02,0.5,0.8,1,N,0,12,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
15-858,"Rice and pigeon peas, brown rice",DR,N,N,,0.15,0.03,1,0.9,1.9,N,0,N,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
15-859,Rice and red kidney beans,DR,N,N,,0.1,0.02,0.5,1.1,1.8,0.09,Tr,14,0.22,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
15-860,"Rice and red kidney beans, brown rice",DR,N,N,,0.13,0.03,1,1.2,2.2,N,0,18,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
15-861,Rice and split peas,DR,N,N,,0.12,0.03,0.7,1.2,1.1,0.08,Tr,N,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
15-862,"Rice and split peas, brown rice",DR,N,N,,0.15,0.04,1.3,1.3,2.6,N,Tr,N,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
11-867,"Rice, brown, basmati, boiled in unsalted water",AC,0,0.23,,0.08,Tr,1.5,0.9,2.4,0.03,0,5,0.25,1.1,0,,,,,,,,,,,,,,,,,,,,,,,
11-866,"Rice, brown, basmati, raw",AC,0,0.62,,0.38,Tr,6.9,2.4,9.3,0.12,0,29,1.12,4.8,0,,,,,,,,,,,,,,,,,,,,,,,
11-871,"Rice, brown, easy cook, boiled in unsalted water",AC,0,0.06,,0.04,0.01,1.8,0.9,2.7,0.06,0,3,0.21,1,0,,,,,,,,,,,,,,,,,,,,,,,
11-870,"Rice, brown, easy cook, raw",AC,0,0.14,,0.15,0.04,6.8,2.2,9,0.25,0,16,0.83,4.3,0,,,,,,,,,,,,,,,,,,,,,,,
11-869,"Rice, brown, wholegrain, boiled in unsalted water",AC,0,0.14,,0.11,Tr,2,1.2,3.2,0.04,0,7,0.15,0.9,0,,,,,,,,,,,,,,,,,,,,,,,
11-868,"Rice, brown, wholegrain, raw",AC,0,0.37,0.82,0.3,0.06,4.3,2.2,6.5,0.19,0,22,0.65,4.2,0,,,,,,,,,,,,,,,,,,,,,,,
11-885,"Rice, egg fried, ready cooked, re-heated, retail, not takeaway",AC,Tr,2.08,,0.11,0.06,1.7,0.9,2.6,0.08,Tr,8,0.5,2.2,Tr,,,,,,,,,,,,,,,,,,,,,,,
11-444,"Rice, egg fried, takeaway",AC,0.3,0.88,,0.03,0.08,0.3,1.1,1.4,0.06,0.4,8,0.39,4.5,Tr,,,,,,,,,,,,,,,,,,,,,,,
11-968,"Rice, pilau, plain, homemade",AC,0,1.83,,0.04,Tr,0.3,0.6,0.9,0.03,0,2,0.07,0.3,Tr,,,,,,,,,,,,,,,,,,,,,,,
11-884,"Rice, ready-cooked, ""plain"", re-heated",AC,0,0.36,,0.08,Tr,2.3,1.2,3.5,0.08,0,5,0.5,1.2,0,,,,,,,,,,,,,,,,,,,,,,,
11-876,"Rice, red, raw",AC,0,0.26,,0.25,0.07,7.5,1.7,9.2,0.12,0,23,0.89,3.8,0,,,,,,,,,,,,,,,,,,,,,,,
11-881,"Rice, savoury, including chicken, beef, mushroom and vegetable varieties, dried, cooked",AC,Tr,0.45,,0.2,0.09,2.5,1.1,3.6,0.12,Tr,22,0.46,2.4,1,,,,,,,,,,,,,,,,,,,,,,,
11-880,"Rice, savoury, including chicken, beef, mushroom and vegetable varieties, dried, uncooked",AC,Tr,1.23,,0.33,0.21,2.8,2.1,4.9,0.22,Tr,48,0.62,5.1,5,,,,,,,,,,,,,,,,,,,,,,,
11-875,"Rice, Thai fragrant, boiled in unsalted water",AC,0,0.01,,Tr,Tr,0.2,0.9,1.1,0.03,0,6,0.18,0.4,0,,,,,,,,,,,,,,,,,,,,,,,
11-874,"Rice, Thai fragrant, raw",AC,0,0.03,,0.09,Tr,1.5,N,N,0.15,0,15,0.48,1.2,0,,,,,,,,,,,,,,,,,,,,,,,
11-858,"Rice, white, basmati, boiled in unsalted water",AC,0,0.08,,0.03,Tr,0.2,0.9,1.1,0.03,0,5,0.16,0.5,0,,,,,,,,,,,,,,,,,,,,,,,
11-860,"Rice, white, basmati, easy cook, boiled in unsalted water",AC,0,0.01,,0.06,Tr,1,0.8,1.8,0.06,0,8,0.2,0.6,0,,,,,,,,,,,,,,,,,,,,,,,
11-859,"Rice, white, basmati, easy cook, raw",AC,0,0.03,,0.25,Tr,5.2,2.1,7.3,0.28,0,20,0.89,2.8,0,,,,,,,,,,,,,,,,,,,,,,,
11-857,"Rice, white, basmati, raw",AC,0,0.07,,0.13,Tr,1.2,2.1,3.3,0.1,0,12,0.41,1.1,0,,,,,,,,,,,,,,,,,,,,,,,
11-879,"Rice, white, Italian ""Arborio"" risotto, boiled in unsalted water",AC,0,0.01,,0.03,Tr,0.5,1.3,1.8,0.05,0,7,0.19,0.6,0,,,,,,,,,,,,,,,,,,,,,,,
11-878,"Rice, white, Italian Arborio risotto, raw",AC,0,0.03,,0.09,Tr,1.6,2,3.6,0.11,0,13,0.28,1.1,0,,,,,,,,,,,,,,,,,,,,,,,
11-862,"Rice, white, long grain, boiled in unsalted water",AC,0,0.01,,Tr,Tr,0.3,0.9,1.2,0.03,0,4,0.09,0.4,0,,,,,,,,,,,,,,,,,,,,,,,
11-864,"Rice, white, long grain, easy cook, boiled in unsalted water",AC,0,0.01,,0.05,Tr,0.7,0.7,1.4,0.03,0,6,0.09,0.4,0,,,,,,,,,,,,,,,,,,,,,,,
11-863,"Rice, white, long grain, easy cook, raw",AC,0,0.04,,0.21,Tr,4.2,1.8,6,0.18,0,18,0.78,3,0,,,,,,,,,,,,,,,,,,,,,,,
11-861,"Rice, white, long grain, raw",AC,0,0.03,,0.12,Tr,1.4,1.9,3.3,0.12,0,14,0.41,1.6,0,,,,,,,,,,,,,,,,,,,,,,,
11-865,"Rice, white, pudding, raw",AC,,Tr,,0.11,Tr,1.3,1.6,2.9,0.1,0,14,0.46,1.3,0,,,,,,,,,,,,,,,,,,,,,,,
